r2_lr1-e4	r4_lr1-e4	r8_lr1-e4
0.406	0.315	0.613
0.822	0.319	0.885
0.822	0.319	0.885
0.592	0.66	0.772
0.592	0.66	0.772
0.59	0.693	0.287
0.59	0.693	0.287
0.937	0.653	0.53
0.937	0.653	0.53
0.719	0.397	0.408
0.719	0.397	0.408
0.836	0.734	0.553
0.836	0.734	0.553
0.711	0.672	0.768
0.711	0.672	0.768
0.698	0.462	0.379
0.698	0.462	0.379
0.725	0.864	0.551
0.725	0.864	0.551
0.608	0.644	0.385
0.608	0.644	0.385
0.731	0.683	0.683
0.731	0.683	0.683
0.571	0.495	0.809
0.571	0.495	0.809
0.845	0.595	0.742
0.845	0.595	0.742
0.694	0.844	0.714
0.694	0.844	0.714
0.57	0.777	0.62
0.57	0.777	0.62
0.503	0.616	0.42
0.503	0.616	0.42
0.739	0.56	0.163
0.739	0.56	0.163
1.04	0.563	0.684
1.04	0.563	0.684
1.64	0.616	0.535
1.64	0.616	0.535
0.67	0.64	0.189
0.67	0.64	0.189
1.03	0.546	0.819
1.03	0.546	0.819
0.464	0.668	0.567
0.464	0.668	0.567
0.718	0.831	0.372
0.718	0.831	0.372
0.887	0.726	0.573
0.887	0.726	0.573
0.588	0.71	0.437
0.588	0.71	0.437
0.675	0.737	0.626
0.675	0.737	0.626
0.67	0.342	0.534
0.67	0.342	0.534
0.935	0.557	0.659
0.935	0.557	0.659
0.781	0.572	0.406
0.781	0.572	0.406
0.607	0.89	0.873
0.607	0.89	0.873
0.645	0.757	0.323
0.645	0.757	0.323
0.873	0.916	0.875
0.873	0.916	0.875
0.777	0.556	0.803
0.777	0.556	0.803
0.855	0.723	0.456
0.855	0.723	0.456
0.417	0.51	0.71
0.417	0.51	0.71
0.699	0.614	0.382
0.699	0.614	0.382
0.807	0.719	0.803
0.807	0.719	0.803
0.585	0.271	0.615
0.585	0.271	0.615
0.822	0.69	0.531
0.822	0.69	0.531
0.712	0.749	0.761
0.712	0.749	0.761
0.511	0.649	0.568
0.511	0.649	0.568
0.851	0.31	0.59
0.851	0.31	0.59
0.778	0.781	0.65
0.778	0.781	0.65
0.76	0.63	0.646
0.76	0.63	0.646
0.721	0.751	0.421
0.721	0.751	0.421
0.453	0.484	0.707
0.453	0.484	0.707
0.57	0.676	0.575
0.57	0.676	0.575
0.657	0.85	0.797
0.657	0.85	0.797
0.819	0.451	0.977
0.819	0.451	0.977
0.601	0.22	0.816
0.601	0.22	0.816
0.709	0.7	0.335
0.709	0.7	0.335
0.702	0.485	0.524
0.702	0.485	0.524
0.943	0.559	0.427
0.943	0.559	0.427
0.701	0.586	0.553
0.701	0.586	0.553
0.208	0.668	0.611
0.208	0.668	0.611
0.799	0.5	0.781
0.799	0.5	0.781
0.912	0.454	0.468
0.912	0.454	0.468
0.56	0.495	0.513
0.56	0.495	0.513
0.86	0.476	0.635
0.86	0.476	0.635
0.704	0.654	0.509
0.704	0.654	0.509
0.764	0.475	0.769
0.764	0.475	0.769
0.649	0.602	0.585
0.649	0.602	0.585
0.691	0.526	0.633
0.691	0.526	0.633
0.781	0.546	0.594
0.781	0.546	0.594
0.504	0.953	0.339
0.504	0.953	0.339
0.658	0.563	0.676
0.658	0.563	0.676
0.795	0.59	0.702
0.795	0.59	0.702
1.59	0.781	0.655
1.59	0.781	0.655
0.536	0.78	0.511
0.536	0.78	0.511
0.704	0.858	0.402
0.704	0.858	0.402
0.673	0.339	0.531
0.673	0.339	0.531
0.803	0.593	0.776
0.803	0.593	0.776
0.907	0.673	0.691
0.907	0.673	0.691
0.599	0.8	0.728
0.599	0.8	0.728
0.701	0.862	0.735
0.701	0.862	0.735
0.801	0.774	0.692
0.801	0.774	0.692
0.586	0.57	0.681
0.586	0.57	0.681
0.955	0.765	0.707
0.955	0.765	0.707
0.555	0.684	0.513
0.555	0.684	0.513
0.904	0.516	0.517
0.904	0.516	0.517
0.832	0.602	0.594
0.832	0.602	0.594
0.645	0.68	0.787
0.645	0.68	0.787
